card_name,card_element,card_suit,card_number,card_arcana_rank,card_key_term,card_astro_sign,card_astro_planet,card_key_actions
Ace,Fire,Wands,1,Minor,,,,"use creative force, showing enthusiasm, having confidence"
Two,Fire,Wands,2,Minor,Dominion,Aries,Mars,"having personal power, being bold, showing originality"
Three,Fire,Wands,3,Minor,Virtue,Aries,Sun,"exploring the unknown, having foresight, demonstraind leadership"
Four,Fire,Wands,4,Minor,Completion,Aries,Venus,"celebrating, seeking freedom, feeling excited"
Five,Fire,Wands,5,Minor,Strife,Leo,Saturn,"disagreeing, experiencing competition, experiencing hassles"
Six,Fire,Wands,6,Minor,Victory,Leo,Jupiter,"triumphing, receiving acclaim, feeling pride"
Seven,Fire,Wands,7,Minor,Valor,Leo,Mars,"being aggressive, being definat, showing conviction"
Eight,Fire,Wands,8,Minor,Swiftness,Saggitarius,Mercury,"taking quick action, coming to a conclusion, receiving news"
Nine,Fire,Wands,9,Minor,Strength,Saggitarius,Moon,"defending yourself, persevering, showing stamina"
Ten,Fire,Wands,10,Minor,Opression,Saggitarius,Saturn,"overextending, feeling burdened, struggling"
Knight,Fire,Wands,11,Court,,Saggitarius,,"be creative, be enthusiastic, be confident, be courageous"
Queen,Fire,Wands,12,Court,,Aries,,extremes of cocky or super charismatic
King,Fire,Wands,13,Court,,Leo,,"attractive, wholehearted, energetic, cheerful, self assured"
Page,Fire,Wands,14,Court,,,,"creative, insipring, forceful, Bold"
Ace,Water,Cups,1,Minor,,,,"using emotional force, developing intuition, xperiencing intimacy, proceeding with love"
Two,Water,Cups,2,Minor,Love,Cancer,Venus,"making a connection, calling a truce, acknowledging an attraction"
Three,Water,Cups,3,Minor,Abundunce,Cancer,Mercury,"feeling exuberent, enjoying friendship, valueing community"
Four,Water,Cups,4,Minor,Luxury,Cancer,Moon,"being self absorbed, feeling apathetic, going within"
Five,Water,Cups,5,Minor,Dissapointment,Scorpio,Mars,"suffering a loss, feeling bereft, feeling regret"
Six,Water,Cups,6,Minor,Pleasure,Scorpio,Sun,"experiencing good will, enjoying innocence, focusing on childhood"
Seven,Water,Cups,7,Minor,Debauch,Scorpio,Venus,"indulging in wishful thinking, having many options, falling into dissipation"
Eight,Water,Cups,8,Minor,Indolence,Pisces,Mercury,"seeking deeper meaning, moving on, growing weary"
Nine,Water,Cups,9,Minor,Happiness,Pisces,Jupiter,"wish fullfilled, feeling satisfied, enjoying sensual pleasure"
Ten,Water,Cups,10,Minor,Satiety,Pisces,Mars,"feeling joy, enjoying peace, looking to the family"
Knight,Water,Cups,11,Court,,Pisces,,"be emotional, be intuitive, be intimate, be loving"
Queen,Water,Cups,12,Court,,Cancer,,"imaginful/fanciful,sensitive/temperamental,refined/over-refined, introspective, introverted"
King,Water,Cups,13,Court,,Scorpio,,"loving, tenderhearted, intuitive, psychic, spritual"
Page,Water,Cups,14,Court,,,,"wise, calm, diplomatic, caring, tolerant"
Ace,Air,Sowrds,1,Minor,,,,"using mental force, having fortitude, seeking justice, proceeding with truth"
Two,Air,Sowrds,2,Minor,Peace restored,Libra,Moon,"Blocking emotions, avoiding the truth, being at a stalemate"
Three,Air,Sowrds,3,Minor,Sorrow,Libra,Saturn,"dissapointment, sorrow, very hard situation"
Four,Air,Sowrds,4,Minor,Truce,Libra,Jupiter,"resting, contemplating, quietly preparing"
Five,Air,Sowrds,5,Minor,Defeat,Aquarius,Venus,"acting in your own self interest, experiencing discord, witnessing open dishonor"
Six,Air,Sowrds,6,Minor,Science,Aquarius,Mercury,"feeling depressed, recovery and going towards better, possible travel"
