card_name,card_element,card_suit,card_number,card_arcana_rank
Ace,Fire,Wands,1,Minor
Two,Fire,Wands,2,Minor
Three,Fire,Wands,3,Minor
Four,Fire,Wands,4,Minor
Five,Fire,Wands,5,Minor
Six,Fire,Wands,6,Minor
Seven,Fire,Wands,7,Minor
Eight,Fire,Wands,8,Minor
Nine,Fire,Wands,9,Minor
Ten,Fire,Wands,10,Minor
Knight,Fire,Wands,11,Court
Queen,Fire,Wands,12,Court
King,Fire,Wands,13,Court
Page,Fire,Wands,14,Court
Ace,Water,Cups,1,Minor
Two,Water,Cups,2,Minor
Three,Water,Cups,3,Minor
Four,Water,Cups,4,Minor
Five,Water,Cups,5,Minor
Six,Water,Cups,6,Minor
Seven,Water,Cups,7,Minor
Eight,Water,Cups,8,Minor
Nine,Water,Cups,9,Minor
Ten,Water,Cups,10,Minor
Knight,Water,Cups,11,Court
Queen,Water,Cups,12,Court
King,Water,Cups,13,Court
Page,Water,Cups,14,Court
Ace,Air,Sowrds,1,Minor
Two,Air,Sowrds,2,Minor
Three,Air,Sowrds,3,Minor
Four,Air,Sowrds,4,Minor
Five,Air,Sowrds,5,Minor
Six,Air,Sowrds,6,Minor
Seven,Air,Sowrds,7,Minor
Eight,Air,Sowrds,8,Minor
Nine,Air,Sowrds,9,Minor
Ten,Air,Sowrds,10,Minor
Knight,Air,Sowrds,11,Court
Queen,Air,Sowrds,12,Court
King,Air,Sowrds,13,Court
Page,Air,Sowrds,14,Court
Ace,Earth,Pentacles,1,Minor
Two,Earth,Pentacles,2,Minor
Three,Earth,Pentacles,3,Minor
Four,Earth,Pentacles,4,Minor
Five,Earth,Pentacles,5,Minor
Six,Earth,Pentacles,6,Minor
Seven,Earth,Pentacles,7,Minor
Eight,Earth,Pentacles,8,Minor
Nine,Earth,Pentacles,9,Minor
Ten,Earth,Pentacles,10,Minor
Knight,Earth,Pentacles,11,Court
Queen,Earth,Pentacles,12,Court
King,Earth,Pentacles,13,Court
Page,Earth,Pentacles,14,Court
Fool,Air,,1,Major
Magician,Air,,2,Major
High Priestess,Water,,3,Major
Empress,Earth,,4,Major
Emperor,Fire,,5,Major
Heirophant,,,6,Major
Lovers,Air,,7,Major
Chariot,Water,,8,Major
Strength,,,9,Major
Hermit,Earth,,10,Major
Fortune,,,11,Major
Justice,Air,,12,Major
Hangedman,Water,,13,Major
Death,Water,,14,Major
Temperance,Fire,,15,Major
Devil,,,16,Major
Tower,,,17,Major
Star,Air,,18,Major
Moon,,,19,Major
Sun,,,20,Major
Judgement,Fire,,21,Major
World,,,22,Major
